Cat: 4 | Code: Nữ BK 01 -> time: 14:30, court: Sân 3
Cat: 4 | Code: Nữ BK 02 -> time: 14:30, court: Sân 4
Cat: 4 | Code: Nữ CK -> time: 15:30, court: Sân 3
Cat: 4 | Code: Nữ 3-4 -> time: 15:00, court: Sân 3
Cat: 1 | Code: Tứ kết 1 -> time: 08:30, court: Sân bóng 1
Cat: 1 | Code: Tứ kết 2 -> time: 08:30, court: Sân bóng 2
Cat: 1 | Code: Tứ kết 3 -> time: 09:30, court: Sân bóng 1
Cat: 1 | Code: Tứ kết 4 -> time: 09:30, court: Sân bóng 2
Cat: 1 | Code: Bán kết 1 -> time: 14:00, court: Sân bóng 1
Cat: 1 | Code: Bán kết 2 -> time: 14:00, court: Sân bóng 2
Cat: 1 | Code: Chung kết -> time: 15:30, court: Sân bóng 2
Cat: 1 | Code: Tranh hạng 3 -> time: 15:30, court: Sân bóng 1
Total matches with time/court: 100
